,State,District,Latitude,Longitude,StationId
348,PUNJAB,AMRITSAR,31.378999710082997,74.375,314744
349,RAJASTHAN,BHILWARA,25.1343994140625,74.0625,251741
350,RAJASTHAN,DAUSA,27.007799148559602,76.5625,270766
351,RAJASTHAN,HANUMANGARH,7.02514982223511,79.375,70794
352,TAMILNADU,VILLUPURAM,12.0207996368408,79.375,120794
353,CHATISGARH,DANTEWARA,18.265399932861303,81.25,183813
354,TELANGANA,HYDERABAD,17.3286991119385,78.4375,173784
355,BIHAR,NAWADAH,24.510000228881804,85.3125,245853
356,GUJARAT,BHAVNAGAR,21.3876991271973,71.25,214713
357,GUJARAT,KAIRA/KHEDA,22.636600494384798,72.5,226725
358,GUJARAT,RAJKOT,22.636600494384798,70.625,226706
359,HIMACHAL PRADESH,BILASPUR,31.0667991638184,76.5625,311766
360,KARNATAKA,CHAMARAJANAGA,12.0207996368408,77.1875,120772
361,KARNATAKA,KODAGU,12.333000183105499,75.625,123756
362,KERALA,PATHANAMTHITTA,9.21074962615967,76.25,92763
363,MADHAYA PRADESH,SEHORE,22.9487991333008,76.5625,229766
364,MAHARASHTRA,POONA,18.265399932861303,74.0625,183741
365,ORISSA,MAYURBHANJ,21.3876991271973,85.625,214856
366,UTTAR PRADESH,GHAZIPUR,25.4466991424561,83.4375,254834
367,ANDHRA PRADESH,ANANTAPUR,14.5186004638672,77.1875,145772
368,ARUNACHAL PRADESH,EAST KAMENG,27.007799148559602,92.5,270925
369,GUJARAT,AHMEDABAD,22.9487991333008,71.875,229719
370,KARNATAKA,BIJAPUR,16.0797996520996,76.25,161763
371,KERALA,PALAKKAD,10.147399902343802,76.25,101763
372,KERALA,PATHANAMTHITTA,9.21074962615967,76.5625,92766
373,KERALA,WAYANAD,11.396400451660199,76.25,114763
374,TAMILNADU,NAMAKKAL,11.396400451660199,78.125,114781
375,UTTAR PRADESH,FATEHPUR,7.02514982223511,79.375,70794
376,JHARKHAND,RANCHI,23.260999679565398,85.0,233850
377,HIMACHAL PRADESH,KANGRA,32.0035018920898,76.25,320763
378,KARNATAKA,BIJAPUR,16.0797996520996,75.625,161756
379,MAHARASHTRA,AHMEDNAGAR,19.5142993927002,74.375,195744
380,MAHARASHTRA,RATNAGIRI,17.3286991119385,73.125,173731
381,ORISSA,SUNDARGARH,21.6998996734619,83.4375,217834
382,RAJASTHAN,BARMER,25.1343994140625,70.0,251700
383,RAJASTHAN,RAJASMAND,24.510000228881804,73.4375,245734
384,TAMILNADU,VELLORE,12.333000183105499,78.4375,123784
385,UTTAR PRADESH,AZAMGARH,25.4466991424561,82.5,254825
386,UTTAR PRADESH,BAHRAICH,28.256700515747102,80.9375,283809
387,TELANGANA,WARANGAL,17.3286991119385,80.0,173800
388,BIHAR,KATIHAR,25.4466991424561,87.5,254875
389,KARNATAKA,BIJAPUR,16.0797996520996,75.9375,161759
390,MADHAYA PRADESH,MANDLA,22.324399948120103,80.3125,223803
391,MADHAYA PRADESH,UJJAIN,22.9487991333008,75.3125,229753
392,TAMILNADU,KANCHEEPURAM,12.645299911499,79.6875,126797
393,UTTAR PRADESH,KHUSHINAGAR,26.6956005096436,83.4375,267834
394,WEST BENGAL,JALPAIGURI,26.6956005096436,88.4375,267884
395,WEST BENGAL,24 PARGANAS N,22.324399948120103,88.4375,223884
396,BIHAR,SAHARSA,7.02514982223511,79.375,70794
397,GUJARAT,BANASKANTHA,23.8854999542236,71.5625,239716
398,HARYANA,SONEPAT,28.256700515747102,76.25,283763
399,HIMACHAL PRADESH,SIMLA/MAHASU,31.0667991638184,77.1875,311772
400,MADHAYA PRADESH,DHAR,22.324399948120103,74.6875,223747
401,ORISSA,KENDRAPARA,20.451000213623,86.25,205863
402,ORISSA,NAYAGARH,7.02514982223511,79.375,70794
403,RAJASTHAN,DAUSA,26.38330078125,76.25,264763
404,TAMILNADU,COIMBATORE,7.02514982223511,79.375,70794
405,TAMILNADU,THOOTHUKUDI,9.21074962615967,77.5,92775
406,UTTAR PRADESH,AMBEDKAR NAGAR,26.38330078125,82.1875,264822
407,HIMACHAL PRADESH,SIMLA/MAHASU,31.0667991638184,76.5625,311766
408,KARNATAKA,GADAG,15.4553003311157,75.625,155756
409,KARNATAKA,HAVERI,14.5186004638672,75.3125,145753
