SN,STATE NAME,DISTRICT NAME,STATION NAME,CLASS,LAT,LON,HEIGHT(MTR),CATCH
226,ANDHRA,WARANGAL,MULUG,REV,18.11,79.57,0225,313
227,ANDHRA,WARANGAL,PARKAL,REV,18.12,79.42,0214,313
228,ANDHRA,WARANGAL,ETURNAGARAM,HYDRO,18.21,80.26, ,317
229,ANDHRA,WARANGAL,ETURNAGARAM,REV,18.21,80.26, ,317
230,ANDHRA,RANGAREDDY,TANDUR,REV,17.14,77.35,0453,307
231,ANDHRA,RANGAREDDY,PARGI,REV,17.10,77.53,0582,307
232,ANDHRA,RANGAREDDY,VIKARABAD,REV,17.20,77.55,0625,307
233,ANDHRA,RANGAREDDY,MEDCHEL/MANCHAL,REV,17.38,78.29,0596,310
234,ANDHRA,RANGAREDDY,HAKIMPET IAF,OBSYI,17.33,78.31,0613,310
235,ANDHRA,RANGAREDDY,IBRAHIMPATNAM,REV,17.12,78.39,0544,310
236,ANDHRA,RANGAREDDY,CHEVELLA,REV,17.19,78.08, ,310
237,ANDHRA,RANGAREDDY,DINDIGUL,OBSYI,17.38,78.24, ,312
238,ANDHRA,VIZIANAGARAM,SRUNGAVARAPUKOTA,REV,18.07,83.08,3138,318
239,ANDHRA,VIZIANAGARAM,PARVATIPURAM,REV,18.47,83.26,0114,318
240,ANDHRA,VIZIANAGARAM,BOBBILI,REV,18.34,83.22,0131,318
241,ANDHRA,VIZIANAGARAM,SALUR,REV,18.31,83.12,0145,318
242,ANDHRA,VIZIANAGARAM,GAJAPATHINAGARAM,REV,18.18,83.20,0067,318
243,ANDHRA,VIZIANAGARAM,CHEEPURUPALLI,REV,18.18,83.34,0100,318
244,ANDHRA,VIZIANAGARAM,VIJAYANAGARAM,REV,18.07,83.25,0175,318
245,ANDHRA,VIZIANAGARAM,SRUNGAVARAPUKOTA,PWD,18.07,83.08,0138,318
246,ANDHRA,VIZIANAGARAM,THERLAM,REV,18.30,83.45,0100,318
247,ANDHRA,VIZIANAGARAM,KOMARADA,REV,19.00,83.15,0120,318
248,ARUNACHAL,CHANGLANG,CHANGLANG,HYDRO,27.07,95.43,0580,504
249,ARUNACHAL,CHANGLANG,MIAO,HYDRO,27.27,96.12, ,504
250,ARUNACHAL,DIBANG VALLEY,ROING, ,28.05,95.50,0390,501
251,ARUNACHAL,DIBANG VALLEY,ANINI, ,28.48,95.54,1680,501
252,ARUNACHAL,EAST KAMENG,SEIJOSA, ,27.00,92.58,0130,504
253,ARUNACHAL,EAST KAMENG,SEPLA/SEPPA, ,27.20,93.02, ,504
254,ARUNACHAL,EAST SIANG,PASIGHAT AERO,OBSY,28.06,95.23,0157,501
255,ARUNACHAL,LOHIT,NAMSAI,HYDRO,27.43,95.50, ,504
256,ARUNACHAL,LOHIT,TEZU,OBSY,27.55,96.10,0197,504
257,ARUNACHAL,LOHIT,HAYULIANG, ,28.04,96.33,0600,504
258,ARUNACHAL,LOWER SUBANSIRI,ZIRO, ,27.36,94.50,1600,502
259,ARUNACHAL,PAPAMPARE,ITANAGAR,HYDRO,27.05,93.37,0350,504
260,ARUNACHAL,PAPAMPARE,NAHARLAGUN,OBSY,27.06,93.37,2006,504
261,ARUNACHAL,TAWANG,LUMLA, ,27.35,91.45,2440,503
262,ARUNACHAL,TAWANG,JANG, ,27.35,91.59,2312,503
