State,Month,TotalPrecipitation,AverageMinTemperature,AverageMaxTemperature,AverageRelativeHumidity
ORISSA,2011-05,1189.53645,26.36732,42.10036,0.46067
KERALA,2013-01,287.44047,24.63726,29.08538,0.69191
MEGHALAYA,2009-02,7.03468,13.60857,29.20623,0.49043
MADHAYA PRADESH,2002-08,18477.15881,23.71056,29.74180,0.81835
TELANGANA,2007-08,3717.53046,23.06178,29.87611,0.80099
MADHAYA PRADESH,2003-08,15175.71812,23.54951,29.50105,0.85934
CHANDIGARH,2013-07,259.67900,26.02548,34.54032,0.72825
RAJASTHAN,2004-09,1129.71665,24.03664,37.33386,0.46679
TRIPURA,2002-08,1580.16234,24.55366,30.34805,0.90436
NEW DELHI,2013-07,126.12134,27.79352,37.39477,0.55563
CHANDIGARH,2010-12,21.46454,7.90287,21.09013,0.62356
LAKSHADWEEP,2009-02,11.12995,26.23386,28.11611,0.75896
SIKKIM,2011-10,26.94912,13.90717,23.22322,0.50371
GOA,2012-08,1884.32171,26.03869,27.51647,0.83334
CHANDIGARH,2009-02,1.92604,8.72743,25.67457,0.52760
NEW DELHI,2004-10,84.20105,17.95535,32.27139,0.44203
HIMACHAL PRADESH,2012-01,689.62665,3.11057,15.06390,0.51741
HIMACHAL PRADESH,2009-03,546.15992,8.73853,23.82974,0.51555
HIMACHAL PRADESH,2010-05,1976.44934,19.35083,33.86448,0.35516
ARUNACHAL PRADESH,2008-12,182.62167,7.98259,19.89404,0.68225
UTTARAKHAND,2005-11,1401.10518,10.58535,25.28052,0.32920
TAMILNADU,2005-11,13460.14143,21.27539,27.10895,0.85382
UTTARAKHAND,2008-02,263.54573,8.64887,23.22265,0.34756
TELANGANA,2007-03,0.48538,21.43715,38.00737,0.31790
KARNATAKA,2001-10,6641.90114,19.51204,28.40634,0.78832
ANDHRA PRADESH,2008-02,872.93065,19.33749,31.25697,0.66498
RAJASTHAN,2008-09,4233.23075,23.88091,34.97695,0.59613
BIHAR,2008-04,1929.05312,23.72968,40.72235,0.27007
ORISSA,2006-06,6768.93631,27.04035,36.71887,0.61246
PUNJAB,2002-09,770.59729,21.77993,37.41465,0.51358
TELANGANA,2000-05,454.45859,27.54878,40.37589,0.36385
KARNATAKA,2010-01,681.63183,17.29096,29.42376,0.60170
HARYANA,2008-10,1892.14297,20.33872,34.31774,0.50757
MAHARASHTRA,2009-07,16886.94077,23.72734,27.79655,0.83248
HARYANA,2007-08,1990.40397,27.39733,36.12691,0.61306
KARNATAKA,2004-12,27.34009,15.07001,29.93905,0.53029
LADAKH,2005-07,80.33582,3.08797,13.43721,0.64077
GUJARAT,2010-11,3992.14477,22.16890,30.50659,0.64042
TRIPURA,2012-06,2071.08271,25.65814,31.62528,0.86449
MANIPUR,2011-05,1871.90652,18.18930,28.89110,0.84220
LAKSHADWEEP,2004-10,411.30097,27.08777,28.48371,0.78685
ORISSA,2005-07,13132.10522,24.92332,31.37478,0.79504
PUNJAB,2004-10,2037.47627,16.94053,32.59706,0.43822
HIMACHAL PRADESH,2003-01,733.56989,2.89236,17.48483,0.42065
UTTAR PRADESH,2008-04,3228.82607,22.73547,40.39430,0.23543
DADRA AND NAGAR HAVELI,2009-08,373.88935,27.19271,28.16423,0.85147
ANDAMAN AND NICOBAR ISLANDS,2009-06,44.22635,28.70590,30.77377,0.73284
DADRA AND NAGAR HAVELI,2000-02,28.98044,22.78862,27.78579,0.63549
CHATISGARH,2002-10,890.78919,18.33325,33.53085,0.56761
JAMMU AND KASHMIR,2003-05,880.78915,10.90182,26.38555,0.38557
RAJASTHAN,2006-11,225.31134,14.35955,30.91998,0.34155
KERALA,2005-12,2289.01218,23.50947,29.45546,0.75858
HARYANA,2001-02,214.58718,8.53841,27.85408,0.35852
HARYANA,2001-07,1834.00743,28.74295,38.22270,0.54712
LADAKH,2001-10,16.33315,-9.23474,3.16627,0.51042
ANDHRA PRADESH,2010-04,34.73633,26.07404,41.26159,0.48145
LAKSHADWEEP,2013-05,211.53031,28.95594,29.71816,0.77758
MEGHALAYA,2010-08,2191.65618,22.99132,28.63502,0.90744
WEST BENGAL,2002-11,2096.72661,18.04564,29.05025,0.65991
MIZORAM,2008-09,788.23584,22.21702,31.10334,0.88281
TAMILNADU,2009-06,4452.20267,24.96759,34.64021,0.62014
KERALA,2009-06,10334.89524,25.07548,28.04566,0.84339
GUJARAT,2004-01,124.41092,15.88100,28.81959,0.45721
TAMILNADU,2005-10,12461.93020,23.11651,30.66984,0.79803
HARYANA,2008-11,856.09931,13.92019,29.36396,0.43670
NAGALAND,2001-12,33.51774,3.98024,19.31043,0.80664
ASSAM,2008-05,4760.87945,21.86561,34.97270,0.68417
SIKKIM,2009-01,0.00000,6.07955,17.70772,0.59696
PUNJAB,2007-06,1766.63968,29.46186,42.41750,0.40731
GOA,2012-03,0.00343,24.28632,29.69705,0.69782
DAMAN AND DIU,2003-06,843.15433,29.30023,30.39058,0.80051
CHANDIGARH,2001-08,197.00287,25.80142,38.96003,0.53916
GOA,2003-02,2.57492,24.29330,31.90125,0.56956
ARUNACHAL PRADESH,2000-10,1811.24196,14.12453,25.47401,0.75687
HIMACHAL PRADESH,2008-11,516.40790,9.11040,23.06489,0.33667
DADRA AND NAGAR HAVELI,2012-04,152.17327,26.47450,29.29603,0.66276
ANDAMAN AND NICOBAR ISLANDS,2008-12,214.11911,26.85668,27.59916,0.75365
UTTAR PRADESH,2010-06,4848.95897,30.51178,43.98137,0.30861
UTTARAKHAND,2012-08,8201.62357,21.85679,28.04538,0.83642
UTTAR PRADESH,2000-03,490.30204,13.96425,34.26272,0.22464
ARUNACHAL PRADESH,2012-12,1544.25858,8.50241,17.65158,0.74579
GUJARAT,2013-05,1862.84828,26.89425,38.05991,0.52429
WEST BENGAL,2000-03,244.22281,18.66837,34.83935,0.41604
UTTARAKHAND,2009-07,4820.89462,23.58333,33.06412,0.67893
HARYANA,2001-05,1874.08541,27.80102,43.18074,0.27094
MEGHALAYA,2010-07,1715.75587,22.98619,28.42197,0.90095
MEGHALAYA,2005-04,191.79341,18.90709,33.17063,0.51597
WEST BENGAL,2003-12,565.52595,13.60689,25.61920,0.59743
KERALA,2012-02,361.54389,24.69590,29.43070,0.67143
JHARKHAND,2003-10,5251.31577,20.80279,28.70163,0.80002
SIKKIM,2003-10,268.02184,16.86361,24.43042,0.66743
ORISSA,2011-11,883.83922,14.63283,30.82441,0.63094
PUDUCHERRY,2003-10,289.08975,24.61531,32.87037,0.74450
GUJARAT,2009-05,2572.80999,26.80696,39.21862,0.51808
PUDUCHERRY,2011-06,42.53769,26.68717,37.68992,0.50043
GUJARAT,2008-03,1234.77614,21.19281,35.84926,0.39786
NEW DELHI,2010-10,4.71897,19.62210,32.55181,0.57451
DAMAN AND DIU,2006-04,0.00000,26.53500,28.68232,0.71980
CHANDIGARH,2000-05,0.51155,27.56390,44.07368,0.16033
MANIPUR,2012-05,562.82277,17.82735,31.64373,0.77564
NEW DELHI,2004-11,0.00000,12.51077,29.47993,0.32555
HIMACHAL PRADESH,2001-02,294.70969,4.83441,20.61483,0.36842
ARUNACHAL PRADESH,2005-09,1909.22114,18.60616,28.92821,0.72833
HIMACHAL PRADESH,2010-12,1556.95814,4.38756,16.01003,0.65609
UTTAR PRADESH,2012-03,234.60522,14.36307,33.97800,0.29169
JAMMU AND KASHMIR,2003-01,893.77412,-1.60879,11.52808,0.42900
ANDAMAN AND NICOBAR ISLANDS,2001-01,144.75408,25.86810,26.52861,0.77617
ANDAMAN AND NICOBAR ISLANDS,2007-02,51.05442,26.44425,27.41043,0.75270
TRIPURA,2001-07,1552.05500,24.68590,30.53923,0.89845
UTTAR PRADESH,2002-11,3425.63478,13.79659,30.31785,0.38548
GUJARAT,2005-01,532.02583,15.04658,27.83971,0.43340
JAMMU AND KASHMIR,2011-03,1523.18120,3.19084,16.44796,0.61215
KARNATAKA,2010-12,583.10314,16.55734,27.46318,0.68641
TAMILNADU,2005-06,5240.04504,25.31340,34.66495,0.62771
TAMILNADU,2010-12,4300.97442,20.02233,27.57532,0.80692
JAMMU AND KASHMIR,2012-09,4164.33794,13.11250,23.90608,0.68660
MEGHALAYA,2010-01,16.54987,11.71339,25.58393,0.63903
KARNATAKA,2013-12,118.88000,14.94365,28.67759,0.58907
ASSAM,2001-05,9085.86806,21.43112,32.19681,0.78472
MIZORAM,2006-10,234.99944,19.78485,31.44753,0.84565
ANDHRA PRADESH,2004-12,5.26861,15.55754,30.32617,0.65907
PUDUCHERRY,2000-03,3.61004,22.27719,36.34039,0.60295
WEST BENGAL,2004-09,7234.58908,24.80266,30.53592,0.85719
BIHAR,2001-12,1087.50297,9.74557,25.99977,0.51981
MADHAYA PRADESH,2005-04,244.83832,20.40176,39.92803,0.15298
TRIPURA,2007-09,1710.44318,24.04588,29.70574,0.91100
NAGALAND,2010-11,303.91790,8.79218,21.51805,0.86696
KERALA,2007-02,173.89391,22.98890,31.53176,0.64150
CHANDIGARH,2002-10,3.88126,17.18732,35.47732,0.26723
HARYANA,2001-08,2038.88715,27.11602,38.28658,0.54534
PUNJAB,2011-10,673.52224,18.02135,31.27213,0.54505
GOA,2002-07,1777.31746,25.30485,27.40113,0.86293
DAMAN AND DIU,2000-02,0.56992,22.57091,25.26219,0.60876
GOA,2010-02,0.00000,23.62171,31.42875,0.58211
NEW DELHI,2003-08,369.90802,26.11342,33.72126,0.78395
MADHAYA PRADESH,2001-07,13805.19076,23.83282,29.90396,0.81018
HIMACHAL PRADESH,2005-10,880.28846,12.79497,26.24814,0.39155
ANDAMAN AND NICOBAR ISLANDS,2002-11,369.61221,27.28787,28.19667,0.76546
ANDHRA PRADESH,2012-03,46.29884,18.86582,38.19208,0.46498
ANDAMAN AND NICOBAR ISLANDS,2004-03,56.00502,27.18181,28.37342,0.78198
MAHARASHTRA,2001-07,11238.80933,24.07389,29.96526,0.74087
ANDAMAN AND NICOBAR ISLANDS,2005-04,176.15510,28.74027,29.78223,0.77232
GUJARAT,2003-07,14766.50680,26.39251,30.75893,0.81005
MEGHALAYA,2008-11,100.42171,15.91613,27.75432,0.72547
HARYANA,2006-03,629.04970,13.55391,31.20626,0.40037
WEST BENGAL,2003-03,801.91900,20.02423,34.20457,0.48688
UTTARAKHAND,2003-10,1067.77598,15.00942,28.34335,0.45044
NAGALAND,2007-01,57.06410,2.66597,19.06898,0.74016
LAKSHADWEEP,2002-09,282.82185,27.25840,28.40370,0.78896
MADHAYA PRADESH,2004-03,73.65376,17.18242,38.21675,0.17094
WEST BENGAL,2004-01,270.34567,12.13432,26.08985,0.54255
DADRA AND NAGAR HAVELI,2003-12,20.52184,24.21106,28.22142,0.58526
CHATISGARH,2000-01,52.62469,9.67425,29.59140,0.40639
ASSAM,2011-05,9712.51778,21.17137,31.89496,0.79359
ORISSA,2008-12,769.71901,13.99711,30.11930,0.62810
TRIPURA,2003-05,875.64401,24.00669,35.92374,0.69765
TELANGANA,2013-10,1805.28482,20.43998,28.50759,0.82093
LAKSHADWEEP,2010-06,1206.82447,27.83617,28.86087,0.79265
PUNJAB,2011-05,492.01658,27.22604,43.05936,0.28660
ORISSA,2004-12,1075.30057,12.58692,28.72080,0.62864
PUNJAB,2010-11,1041.36351,13.36011,28.05068,0.48593
TRIPURA,2007-06,2206.03635,25.07213,31.49556,0.87402
TELANGANA,2009-09,1764.30199,23.15475,32.54445,0.72815
