Month,District_State,MaxTemperature
2010-02,"DHARWAR, KARNATAKA",40.14500
2010-02,"CHANDRAPUR, MAHARASHTRA",40.13300
2010-02,"BHANDARA, MAHARASHTRA",39.90800
2010-02,"MALKANGIRI, ORISSA",39.82300
2010-02,"ADILABAD, TELANGANA",39.73900
2010-02,"KHAMMAM, TELANGANA",39.57750
2010-02,"DAVANAGERE, KARNATAKA",39.55650
2010-02,"SONEPUR, ORISSA",39.54300
2001-05,"REWA, MADHAYA PRADESH",51.88100
2001-05,"JHARSUGUDA, ORISSA",51.52500
2001-05,"KORBA, CHATISGARH",51.16700
2001-05,"JANJGIR, CHATISGARH",51.07800
2001-05,"FARIDKOT, PUNJAB",50.68700
2001-05,"CHANDRAPUR, MAHARASHTRA",50.67150
2001-05,"SIMDEGA, JHARKHAND",50.53450
2001-05,"SAMBALPUR, ORISSA",50.47100
2001-05,"AMRITSAR, PUNJAB",50.26000
2001-05,"BILASPUR, CHATISGARH",50.20900
2005-02,"HAVERI, KARNATAKA",42.08200
2005-02,"NELLORE, ANDHRA PRADESH",41.99800
2005-02,"GUNTUR, ANDHRA PRADESH",41.45900
2005-02,"SANGLI, MAHARASHTRA",40.76100
2005-02,"PRAKASAM, ANDHRA PRADESH",40.67700
2005-02,"KRISHNA, ANDHRA PRADESH",40.66550
2005-02,"DANTEWARA, CHATISGARH",40.36400
2005-02,"DHENKANAL, ORISSA",40.33700
2005-02,"MALKANGIRI, ORISSA",40.20900
2005-02,"CHANDRAPUR, MAHARASHTRA",40.05900
2001-11,"RAJKOT, GUJARAT",39.68800
2001-11,"MEHSANA, GUJARAT",39.29600
2001-11,"PATAN, GUJARAT",39.28600
2001-11,"SURENDRANAGAR, GUJARAT",39.23050
2001-11,"AHMEDABAD, GUJARAT",39.15950
2001-11,"DOHAD, GUJARAT",39.14400
2001-11,"SURAT, GUJARAT",39.00700
2001-11,"DUNGARPUR, RAJASTHAN",38.97500
2001-11,"KAIRA/KHEDA, GUJARAT",38.96800
2001-11,"BHARATPUR, RAJASTHAN",38.78550
2000-08,"AMRITSAR, PUNJAB",48.31750
2000-08,"GANGANAGAR, RAJASTHAN",47.77400
2000-08,"FEROZEPORE, PUNJAB",47.11900
2000-08,"KAPURTHALA, PUNJAB",46.65450
2000-08,"SANGRUR, PUNJAB",46.56200
2000-08,"JAMMU, JAMMU AND KASHMIR",46.41650
2000-08,"FARIDKOT, PUNJAB",46.10200
2000-08,"GURDASPUR, PUNJAB",45.79900
2000-08,"JULLUNDAR, PUNJAB",45.41550
2000-08,"BHATINDA, PUNJAB",45.34200
2004-04,"BOLANGIR, ORISSA",50.36200
2004-04,"SIDHI, MADHAYA PRADESH",49.69200
2004-04,"REWA, MADHAYA PRADESH",49.45600
2004-04,"SONEPUR, ORISSA",49.45300
2004-04,"SONBHADRA, UTTAR PRADESH",49.40250
2004-04,"HOWRAH, WEST BENGAL",49.33200
2004-04,"JANJGIR, CHATISGARH",49.08800
2004-04,"CUTTACK, ORISSA",48.98600
2004-04,"DHENKANAL, ORISSA",48.92600
2004-04,"CHANDRAPUR, MAHARASHTRA",48.76200
2006-09,"GANGANAGAR, RAJASTHAN",45.68200
2006-09,"CHENNAI, TAMILNADU",45.13800
2006-09,"BARMER, RAJASTHAN",44.34600
2006-09,"SIRSA, HARYANA",43.34800
2006-09,"HANUMANGARH, RAJASTHAN",43.34800
2006-09,"BHATINDA, PUNJAB",42.60800
2006-09,"FARIDKOT, PUNJAB",42.55700
2006-09,"FEROZEPORE, PUNJAB",42.55700
2006-09,"HISSAR, HARYANA",42.38700
2006-09,"DARRANG, ASSAM",42.29550
2002-04,"JANJGIR, CHATISGARH",52.49100
2002-04,"JHARSUGUDA, ORISSA",51.39300
2002-04,"KORBA, CHATISGARH",50.80850
2002-04,"SUNDARGARH, ORISSA",50.50600
2002-04,"SAMBALPUR, ORISSA",50.14700
2002-04,"BILASPUR, CHATISGARH",49.86100
2002-04,"SIMDEGA, JHARKHAND",49.80750
2002-04,"GADCHIROLI, MAHARASHTRA",49.76250
2002-04,"CHANDRAPUR, MAHARASHTRA",49.53600
2002-04,"BOLANGIR, ORISSA",49.43100
2003-07,"AMRITSAR, PUNJAB",50.61150
2003-07,"GANGANAGAR, RAJASTHAN",50.45950
2003-07,"FEROZEPORE, PUNJAB",50.04900
2003-07,"BHATINDA, PUNJAB",50.03700
2003-07,"FARIDKOT, PUNJAB",49.88700
2003-07,"SANGRUR, PUNJAB",48.99600
2003-07,"GURDASPUR, PUNJAB",48.30200
2003-07,"SIRSA, HARYANA",48.28800
2003-07,"HANUMANGARH, RAJASTHAN",48.28800
2003-07,"LUDHIANA, PUNJAB",48.17150
2010-04,"JHARSUGUDA, ORISSA",52.20000
2010-04,"JANJGIR, CHATISGARH",51.82000
2010-04,"KORBA, CHATISGARH",51.77700
2010-04,"SONBHADRA, UTTAR PRADESH",51.43650
2010-04,"GONDIA, MAHARASHTRA",50.94300
2010-04,"SONEPUR, ORISSA",50.80650
2010-04,"SUNDARGARH, ORISSA",50.60800
2010-04,"SAMBALPUR, ORISSA",50.52300
2010-04,"KOWARDHA, CHATISGARH",50.38900
2010-04,"JASHPURNAGAR, CHATISGARH",50.34650
2002-03,"CHANDRAPUR, MAHARASHTRA",46.13000
2002-03,"BARGARH, ORISSA",45.50950
2002-03,"DHENKANAL, ORISSA",45.02800
2002-03,"GADCHIROLI, MAHARASHTRA",44.89300
2002-03,"MAHASAMUND, CHATISGARH",44.65800
2002-03,"GONDIA, MAHARASHTRA",44.60500
2002-03,"SAMBALPUR, ORISSA",44.26900
2002-03,"SONEPUR, ORISSA",44.15700
2002-03,"DANTEWARA, CHATISGARH",44.01950
2002-03,"MALKANGIRI, ORISSA",43.96700
2011-05,"JANJGIR, CHATISGARH",51.31400
2011-05,"KORBA, CHATISGARH",51.06900
2011-05,"SATNA, MADHAYA PRADESH",50.32300
2011-05,"MAHASAMUND, CHATISGARH",50.32200
2011-05,"SUNDARGARH, ORISSA",50.11700
2011-05,"PALAMAU, JHARKHAND",50.03800
2011-05,"RAIGARH, CHATISGARH",49.92300
2011-05,"REWA, MADHAYA PRADESH",49.87700
2011-05,"FATEHPUR, UTTAR PRADESH",49.87400
2011-05,"SULTANPUR, UTTAR PRADESH",49.75600
2000-02,"NORTH GOA, GOA",40.09800
2000-02,"DHARWAR, KARNATAKA",38.55400
2000-02,"BARMER, RAJASTHAN",38.35000
2000-02,"KAIRA/KHEDA, GUJARAT",38.07400
2000-02,"PATAN, GUJARAT",37.95700
2000-02,"HAVERI, KARNATAKA",37.90600
2000-02,"PALAKKAD, KERALA",37.89400
2000-02,"AHMEDABAD, GUJARAT",37.86450
2000-02,"BANASKANTHA, GUJARAT",37.81200
2000-02,"SHIMOGA, KARNATAKA",37.73300
2000-01,"NORTH GOA, GOA",38.83700
2000-01,"HAVERI, KARNATAKA",37.11300
2000-01,"DHARWAR, KARNATAKA",36.81200
2000-01,"DAVANAGERE, KARNATAKA",36.72350
