Month,District_State,TotalPrecipitation
2001-11,"PATHANAMTHITTA, KERALA",395.99618
2001-11,"PURI, ORISSA",357.50742
2001-11,"GANJAM, ORISSA",356.97778
2001-11,"MADURAI, TAMILNADU",339.93589
2000-08,"JAINTIA HILLS, MEGHALAYA",1282.39071
2000-08,"PAPAMPARE, ARUNACHAL PRADESH",1148.29064
2000-08,"RATNAGIRI, MAHARASHTRA",1112.04214
2000-08,"KASARGOD, KERALA",1108.14725
2000-08,"KARBI ANGLONG, ASSAM",1030.49981
2000-08,"EAST KHASI HILLS, MEGHALAYA",1011.07241
2000-08,"GOLAGHAT, ASSAM",1003.67326
2000-08,"SOUTH GOA, GOA",991.75262
2000-08,"LAKHIMPUR, ASSAM",984.82875
2000-08,"UDUPI, KARNATAKA",943.35588
2004-04,"NORTH TRIPURA, TRIPURA",825.97832
2004-04,"SENAPATI, MANIPUR",793.01121
2004-04,"KARBI ANGLONG, ASSAM",765.91449
2004-04,"PHEK, NAGALAND",755.55896
2004-04,"HAILAKANDI, ASSAM",719.65206
2004-04,"KARIMGANJ, ASSAM",648.46711
2004-04,"MON, NAGALAND",648.11951
2004-04,"JAINTIA HILLS, MEGHALAYA",625.56243
2004-04,"KOHIMA, NAGALAND",604.07378
2004-04,"N.C.HILLS, ASSAM",572.68647
2006-09,"THRISSUR, KERALA",996.79747
2006-09,"COOCH BEHAR, WEST BENGAL",821.62199
2006-09,"KASARGOD, KERALA",781.29219
2006-09,"DHUBRI, ASSAM",771.95265
2006-09,"PALAKKAD, KERALA",736.46017
2006-09,"KANNUR, KERALA",723.97048
2006-09,"GOALPARA, ASSAM",722.85480
2006-09,"MALAPPURAM, KERALA",701.46880
2006-09,"SOUTH GOA, GOA",700.39050
2006-09,"WAYANAD, KERALA",699.25664
2002-04,"UPPER SUBANSIRI, ARUNACHAL PRADESH",457.74703
2002-04,"KARBI ANGLONG, ASSAM",395.71033
2002-04,"LAKHIMPUR, ASSAM",389.36920
2002-04,"GOLAGHAT, ASSAM",376.80703
2002-04,"MON, NAGALAND",372.28891
2002-04,"PAPAMPARE, ARUNACHAL PRADESH",369.63161
2002-04,"PHEK, NAGALAND",302.24071
2002-04,"DIBANG VALLEY, ARUNACHAL PRADESH",299.28816
2002-04,"UPPER SIANG, ARUNACHAL PRADESH",298.41869
2002-04,"WEST KAMENG, ARUNACHAL PRADESH",287.99542
2003-07,"SOUTH GOA, GOA",1603.67256
2003-07,"MUMBAI CITY, MAHARASHTRA",1602.44554
2003-07,"DAMAN, DAMAN AND DIU",1463.92236
2003-07,"RATNAGIRI, MAHARASHTRA",1356.50914
2003-07,"THANA, MAHARASHTRA",1348.39029
2003-07,"KOLABA/RAIGARH, MAHARASHTRA",1338.36077
2003-07,"SINDHUDURG, MAHARASHTRA",1307.46432
2003-07,"PAPAMPARE, ARUNACHAL PRADESH",1269.17747
2003-07,"COOCH BEHAR, WEST BENGAL",1245.12121
2003-07,"KANNUR, KERALA",1209.37094
2010-04,"LAKHIMPUR, ASSAM",1008.57472
2010-04,"GOLAGHAT, ASSAM",866.95599
2010-04,"PAPAMPARE, ARUNACHAL PRADESH",814.30929
2010-04,"KARBI ANGLONG, ASSAM",780.87174
2010-04,"MON, NAGALAND",765.63638
2010-04,"EAST SIANG, ARUNACHAL PRADESH",731.52133
2010-04,"LOWER SUBANSIRI, ARUNACHAL PRADESH",703.05118
2010-04,"TIRAP, ARUNACHAL PRADESH",655.24644
2010-04,"CHANGLANG, ARUNACHAL PRADESH",602.42806
2010-04,"NORTH TRIPURA, TRIPURA",562.30946
2002-03,"PULWAMA, JAMMU AND KASHMIR",324.99361
2002-03,"BADGAM, JAMMU AND KASHMIR",253.21513
2002-03,"BARAMULLA, JAMMU AND KASHMIR",235.75975
2002-03,"ANANTNAG, JAMMU AND KASHMIR",186.67487
2002-03,"UPPER SUBANSIRI, ARUNACHAL PRADESH",159.58844
2002-03,"SRINAGAR, JAMMU AND KASHMIR",149.49817
2002-03,"DODA, JAMMU AND KASHMIR",144.73112
2002-03,"KULU, HIMACHAL PRADESH",141.01754
2002-03,"KINNAUR, HIMACHAL PRADESH",139.31786
2002-03,"KARGIL, JAMMU AND KASHMIR",129.64210
2011-05,"N.C.HILLS, ASSAM",1263.00370
2011-05,"KARIMGANJ, ASSAM",851.21229
2011-05,"HAILAKANDI, ASSAM",832.45558
2011-05,"NORTH TRIPURA, TRIPURA",831.91323
2011-05,"GOLAGHAT, ASSAM",773.97394
2011-05,"KOHIMA, NAGALAND",764.79265
2011-05,"SENAPATI, MANIPUR",745.48767
2011-05,"CACHAR, ASSAM",724.07576
2011-05,"KARBI ANGLONG, ASSAM",714.86578
2011-05,"PHEK, NAGALAND",641.68912
2000-02,"PULWAMA, JAMMU AND KASHMIR",394.28558
2000-02,"BADGAM, JAMMU AND KASHMIR",337.58411
2000-02,"BARAMULLA, JAMMU AND KASHMIR",264.15767
2000-02,"TIRUVANNAMALAI, TAMILNADU",237.21339
2000-02,"VILLUPURAM, TAMILNADU",223.04823
2000-02,"DINDIGUL, TAMILNADU",207.34548
2000-02,"ANANTNAG, JAMMU AND KASHMIR",196.61292
2000-02,"KANCHEEPURAM, TAMILNADU",191.60892
2000-02,"DODA, JAMMU AND KASHMIR",187.23449
2000-02,"SRINAGAR, JAMMU AND KASHMIR",180.08938
2000-01,"PULWAMA, JAMMU AND KASHMIR",344.52096
2000-01,"BADGAM, JAMMU AND KASHMIR",301.29664
2000-01,"BARAMULLA, JAMMU AND KASHMIR",285.81621
2000-01,"BAY ISLANDS, ANDAMAN AND NICOBAR ISLANDS",273.86439
2000-01,"SRINAGAR, JAMMU AND KASHMIR",250.34924
2000-01,"THIRUVARUR, TAMILNADU",230.57126
2000-01,"ANANTNAG, JAMMU AND KASHMIR",215.81956
2000-01,"DODA, JAMMU AND KASHMIR",193.08874
2000-01,"KUPWARA, JAMMU AND KASHMIR",189.25322
2000-01,"RAMANATHAPURA, TAMILNADU",187.23415
2002-12,"BAY ISLANDS, ANDAMAN AND NICOBAR ISLANDS",343.50302
2002-12,"MIRZAPUR, UTTAR PRADESH",203.95178
2002-12,"KARUR, TAMILNADU",203.06628
2002-12,"SHRAWASTI, UTTAR PRADESH",202.30040
2002-12,"BHOJPUR, BIHAR",201.93132
2002-12,"KARNAL, HARYANA",200.91337
2002-12,"SIDDHARTHNAGAR, UTTAR PRADESH",200.43444
2002-12,"KANPUR DEHAT, UTTAR PRADESH",199.62763
2002-12,"ETAWAH, UTTAR PRADESH",199.34181
2002-12,"VAISHALI, BIHAR",197.82347
2012-08,"GOLAGHAT, ASSAM",2335.36641
2012-08,"KARIMGANJ, ASSAM",2245.38620
2012-08,"GOALPARA, ASSAM",2103.97457
2012-08,"LAKHIMPUR, ASSAM",1887.87697
2012-08,"BONGAIGAON, ASSAM",1827.10356
2012-08,"KOKRAJHAR, ASSAM",1815.87530
2012-08,"NALBARI, ASSAM",1813.92156
2012-08,"KAMRUP, ASSAM",1801.55182
2012-08,"HAILAKANDI, ASSAM",1762.27748
2012-08,"DHUBRI, ASSAM",1747.43076
2004-02,"PULWAMA, JAMMU AND KASHMIR",170.74647
2004-02,"BADGAM, JAMMU AND KASHMIR",136.14978
2004-02,"BARAMULLA, JAMMU AND KASHMIR",131.10809
2004-02,"ANANTNAG, JAMMU AND KASHMIR",89.59465
2004-02,"SRINAGAR, JAMMU AND KASHMIR",87.96273
2004-02,"KUPWARA, JAMMU AND KASHMIR",69.81467
2004-02,"BAY ISLANDS, ANDAMAN AND NICOBAR ISLANDS",69.64106
2004-02,"LADAKH, LADAKH",53.92656
2004-02,"DODA, JAMMU AND KASHMIR",53.42789
2004-02,"KARGIL, JAMMU AND KASHMIR",52.48032
2012-02,"PULWAMA, JAMMU AND KASHMIR",291.03988
2012-02,"ANANTNAG, JAMMU AND KASHMIR",255.89162
2012-02,"KARGIL, JAMMU AND KASHMIR",242.45968
2012-02,"BARAMULLA, JAMMU AND KASHMIR",234.06198
2012-02,"KUPWARA, JAMMU AND KASHMIR",155.51663
2012-02,"UPPER SIANG, ARUNACHAL PRADESH",149.74364
2012-02,"LAHUL AND SPITI, HIMACHAL PRADESH",140.00702
2012-02,"DIBANG VALLEY, ARUNACHAL PRADESH",134.19543
2012-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",121.15344
2012-02,"DODA, JAMMU AND KASHMIR",119.87915
2006-03,"BADGAM, JAMMU AND KASHMIR",390.21376
2006-03,"PULWAMA, JAMMU AND KASHMIR",387.08784
2006-03,"BARAMULLA, JAMMU AND KASHMIR",286.15096
2006-03,"THENI, TAMILNADU",267.33299
2006-03,"DINDIGUL, TAMILNADU",250.17542
2006-03,"TIRUNELVELI, TAMILNADU",237.38794
2006-03,"SRINAGAR, JAMMU AND KASHMIR",217.95617
2006-03,"THIRUVANANTHAP, KERALA",209.65432
2006-03,"KOLLAM, KERALA",208.05875
2006-03,"IDUKKI, KERALA",188.94209
2010-03,"DIBANG VALLEY, ARUNACHAL PRADESH",529.26298
2010-03,"UPPER SUBANSIRI, ARUNACHAL PRADESH",416.00944
2010-03,"EAST SIANG, ARUNACHAL PRADESH",361.90331
2010-03,"PULWAMA, JAMMU AND KASHMIR",296.11929
2010-03,"UPPER SIANG, ARUNACHAL PRADESH",284.81461
2010-03,"NORTH TRIPURA, TRIPURA",272.63087
2010-03,"LAKHIMPUR, ASSAM",271.49160
2010-03,"BADGAM, JAMMU AND KASHMIR",234.95637
2010-03,"PAPAMPARE, ARUNACHAL PRADESH",224.98455
2010-03,"HAILAKANDI, ASSAM",222.36414
2000-07,"SOUTH GOA, GOA",1218.37177
2000-07,"RATNAGIRI, MAHARASHTRA",1130.97888
2000-07,"ALMORA, UTTARAKHAND",1128.31389
2000-07,"SINDHUDURG, MAHARASHTRA",1121.02068
2000-07,"MUMBAI CITY, MAHARASHTRA",1039.96711
2000-07,"BHOPAL, MADHAYA PRADESH",1015.55212
2000-07,"KANARA NORTH, KARNATAKA",992.99966
2000-07,"KOLABA/RAIGARH, MAHARASHTRA",989.29897
2000-07,"THANA, MAHARASHTRA",954.72319
2000-07,"PAPAMPARE, ARUNACHAL PRADESH",952.92334
2001-10,"COOCH BEHAR, WEST BENGAL",728.54985
2001-10,"MON, NAGALAND",673.30570
2001-10,"ALAPPUZHA, KERALA",605.22427
2001-10,"WEST GARO HILLS, MEGHALAYA",595.13880
2001-10,"DINAJPUR SOUTH, WEST BENGAL",557.50729
2001-10,"EAST KHASI HILLS, MEGHALAYA",548.56288
2001-10,"PATHANAMTHITTA, KERALA",546.43379
2001-10,"THENI, TAMILNADU",543.78143
2001-10,"DHUBRI, ASSAM",540.58823
2001-10,"CHENNAI, TAMILNADU",538.44855
2004-11,"BAY ISLANDS, ANDAMAN AND NICOBAR ISLANDS",522.27164
2004-11,"THIRUVARUR, TAMILNADU",474.63423
2004-11,"KARUR, TAMILNADU",439.97326
2004-11,"RAMANATHAPURA, TAMILNADU",434.11858
2004-11,"NAGAPATTINAM, TAMILNADU",426.79823
2004-11,"TANJAVUR, TAMILNADU",426.65594
2004-11,"PUDUKOTTAI, TAMILNADU",398.00294
2004-11,"DINDIGUL, TAMILNADU",394.43964
2004-11,"PUDUCHERRY, PUDUCHERRY",376.81818
2004-11,"THENI, TAMILNADU",373.98877
2007-07,"SOUTH GOA, GOA",1721.35421
2007-07,"KISHANGANJ, BIHAR",1651.79997
2007-07,"BARODA, GUJARAT",1375.04438
2007-07,"THRISSUR, KERALA",1367.94272
2007-07,"SINDHUDURG, MAHARASHTRA",1360.47080
2007-07,"KANNUR, KERALA",1359.44907
2007-07,"KANARA NORTH, KARNATAKA",1342.73407
2007-07,"UDUPI, KARNATAKA",1328.71075
2007-07,"CHAMPARAN.WEST, BIHAR",1328.24795
2007-07,"KASARGOD, KERALA",1327.64511
2012-04,"PULWAMA, JAMMU AND KASHMIR",826.71771
