Month,District_State,MinTemperature
2006-09,"KUPWARA, JAMMU AND KASHMIR",6.76100
2006-09,"SRINAGAR, JAMMU AND KASHMIR",6.88200
2006-09,"BADGAM, JAMMU AND KASHMIR",6.88200
2002-04,"KARGIL, JAMMU AND KASHMIR",-25.39500
2002-04,"LADAKH, LADAKH",-25.16450
2002-04,"KINNAUR, HIMACHAL PRADESH",-4.96650
2002-04,"LAHUL AND SPITI, HIMACHAL PRADESH",-4.93700
2002-04,"BARAMULLA, JAMMU AND KASHMIR",-1.41800
2002-04,"PULWAMA, JAMMU AND KASHMIR",-1.09500
2002-04,"KUPWARA, JAMMU AND KASHMIR",0.06400
2002-04,"SRINAGAR, JAMMU AND KASHMIR",1.33600
2002-04,"BADGAM, JAMMU AND KASHMIR",1.33600
2002-04,"TAWANG, ARUNACHAL PRADESH",2.87900
2003-07,"LADAKH, LADAKH",-1.77600
2003-07,"KARGIL, JAMMU AND KASHMIR",-1.50200
2003-07,"LAHUL AND SPITI, HIMACHAL PRADESH",6.52100
2003-07,"KINNAUR, HIMACHAL PRADESH",7.35900
2003-07,"BARAMULLA, JAMMU AND KASHMIR",9.58100
2003-07,"KULU, HIMACHAL PRADESH",9.93500
2003-07,"PULWAMA, JAMMU AND KASHMIR",10.11600
2003-07,"KUPWARA, JAMMU AND KASHMIR",11.14300
2003-07,"SRINAGAR, JAMMU AND KASHMIR",11.40900
2003-07,"BADGAM, JAMMU AND KASHMIR",11.40900
2010-04,"LADAKH, LADAKH",-17.26350
2010-04,"KARGIL, JAMMU AND KASHMIR",-15.35100
2010-04,"BARAMULLA, JAMMU AND KASHMIR",-1.43700
2010-04,"LAHUL AND SPITI, HIMACHAL PRADESH",-1.28600
2010-04,"KINNAUR, HIMACHAL PRADESH",-0.98200
2010-04,"KUPWARA, JAMMU AND KASHMIR",0.28000
2010-04,"PULWAMA, JAMMU AND KASHMIR",0.75600
2010-04,"SRINAGAR, JAMMU AND KASHMIR",2.41400
2010-04,"BADGAM, JAMMU AND KASHMIR",2.41400
2010-04,"ANANTNAG, JAMMU AND KASHMIR",3.88100
2002-03,"KARGIL, JAMMU AND KASHMIR",-32.52600
2002-03,"LADAKH, LADAKH",-29.19350
2002-03,"KINNAUR, HIMACHAL PRADESH",-12.47400
2002-03,"LAHUL AND SPITI, HIMACHAL PRADESH",-9.35500
2002-03,"PULWAMA, JAMMU AND KASHMIR",-6.64300
2002-03,"BARAMULLA, JAMMU AND KASHMIR",-6.40900
2002-03,"ANANTNAG, JAMMU AND KASHMIR",-4.31700
2002-03,"SRINAGAR, JAMMU AND KASHMIR",-4.01400
2002-03,"BADGAM, JAMMU AND KASHMIR",-4.01400
2002-03,"KULU, HIMACHAL PRADESH",-3.81800
2011-05,"KARGIL, JAMMU AND KASHMIR",-18.80000
2011-05,"LADAKH, LADAKH",-9.71800
2011-05,"PULWAMA, JAMMU AND KASHMIR",2.77300
2011-05,"BARAMULLA, JAMMU AND KASHMIR",2.89600
2011-05,"KUPWARA, JAMMU AND KASHMIR",4.15100
2011-05,"ANANTNAG, JAMMU AND KASHMIR",5.79700
2011-05,"KINNAUR, HIMACHAL PRADESH",6.23900
2011-05,"PHEK, NAGALAND",7.30200
2011-05,"LAHUL AND SPITI, HIMACHAL PRADESH",7.63850
2011-05,"UPPER SIANG, ARUNACHAL PRADESH",9.12650
2000-02,"LADAKH, LADAKH",-37.05050
2000-02,"KARGIL, JAMMU AND KASHMIR",-27.75000
2000-02,"KINNAUR, HIMACHAL PRADESH",-19.33750
2000-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-16.76050
2000-02,"BARAMULLA, JAMMU AND KASHMIR",-8.44700
2000-02,"PULWAMA, JAMMU AND KASHMIR",-8.28600
2000-02,"KULU, HIMACHAL PRADESH",-7.88200
2000-02,"SRINAGAR, JAMMU AND KASHMIR",-7.35400
2000-02,"BADGAM, JAMMU AND KASHMIR",-7.35400
2000-02,"KUPWARA, JAMMU AND KASHMIR",-7.09800
2000-01,"LADAKH, LADAKH",-36.54850
2000-01,"KARGIL, JAMMU AND KASHMIR",-28.00900
2000-01,"KINNAUR, HIMACHAL PRADESH",-13.74850
2000-01,"LAHUL AND SPITI, HIMACHAL PRADESH",-13.20350
2000-01,"BARAMULLA, JAMMU AND KASHMIR",-11.17800
2000-01,"PULWAMA, JAMMU AND KASHMIR",-9.79900
2000-01,"KUPWARA, JAMMU AND KASHMIR",-9.35500
2000-01,"SRINAGAR, JAMMU AND KASHMIR",-8.93600
2000-01,"BADGAM, JAMMU AND KASHMIR",-8.93600
2000-01,"KULU, HIMACHAL PRADESH",-7.29700
2002-12,"KARGIL, JAMMU AND KASHMIR",-29.15700
2002-12,"LADAKH, LADAKH",-23.93600
2002-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-11.50600
2002-12,"KINNAUR, HIMACHAL PRADESH",-9.79300
2002-12,"BARAMULLA, JAMMU AND KASHMIR",-8.25600
2002-12,"PULWAMA, JAMMU AND KASHMIR",-7.07300
2002-12,"KUPWARA, JAMMU AND KASHMIR",-6.37900
2002-12,"TAWANG, ARUNACHAL PRADESH",-5.72900
2002-12,"KULU, HIMACHAL PRADESH",-5.53100
2002-12,"ANANTNAG, JAMMU AND KASHMIR",-5.06600
2012-08,"KARGIL, JAMMU AND KASHMIR",0.37800
2012-08,"LADAKH, LADAKH",0.98700
2012-08,"PULWAMA, JAMMU AND KASHMIR",5.81300
2012-08,"KUPWARA, JAMMU AND KASHMIR",7.74200
2012-08,"BARAMULLA, JAMMU AND KASHMIR",7.95700
2012-08,"LAHUL AND SPITI, HIMACHAL PRADESH",9.33050
2012-08,"KINNAUR, HIMACHAL PRADESH",10.00850
2012-08,"ANANTNAG, JAMMU AND KASHMIR",10.62600
