Month,District_State,MinimumRelativeHumidity
2001-11,"GARWAL PAURI, UTTARAKHAND",0.12263
2001-11,"SIMLA/MAHASU, HIMACHAL PRADESH",0.12315
2001-11,"UDHAMSING NAGAR, UTTARAKHAND",0.12359
2001-11,"NAINITAL, UTTARAKHAND",0.12394
2001-11,"CHANDIGARH, CHANDIGARH",0.13050
2001-11,"BIJNOR, UTTAR PRADESH",0.13202
2000-08,"FARIDKOT, PUNJAB",0.22419
2000-08,"AMRITSAR, PUNJAB",0.23125
2000-08,"GANGANAGAR, RAJASTHAN",0.23619
2000-08,"JAMMU, JAMMU AND KASHMIR",0.24952
2000-08,"SANGRUR, PUNJAB",0.26304
2000-08,"PANIPAT, HARYANA",0.26413
2000-08,"ROHTAK, HARYANA",0.26862
2000-08,"BHIWANI, HARYANA",0.26866
2000-08,"KURUKSHTRA, HARYANA",0.28146
2000-08,"MAHENDRAGARH, HARYANA",0.28180
2004-04,"SHEOPUR, MADHAYA PRADESH",0.07066
2004-04,"SITAMARHI, BIHAR",0.07351
2004-04,"MORENA, MADHAYA PRADESH",0.07371
2004-04,"PANIPAT, HARYANA",0.07420
2004-04,"SAWAI MADHOPUR, RAJASTHAN",0.07443
2004-04,"BHIND, MADHAYA PRADESH",0.07445
2004-04,"FIROZABAD, UTTAR PRADESH",0.07538
2004-04,"GANGANAGAR, RAJASTHAN",0.07652
2004-04,"DHOLPUR, RAJASTHAN",0.07685
2004-04,"AURAIYA, UTTAR PRADESH",0.07707
2006-09,"JAISALMER, RAJASTHAN",0.16725
2006-09,"BIKANER, RAJASTHAN",0.18675
2006-09,"GANGANAGAR, RAJASTHAN",0.19825
2006-09,"CHURU, RAJASTHAN",0.22570
2006-09,"MANDI, HIMACHAL PRADESH",0.24038
2006-09,"UDHAMPUR, JAMMU AND KASHMIR",0.24050
2006-09,"SIKAR, RAJASTHAN",0.24184
2006-09,"KATHUA, JAMMU AND KASHMIR",0.24516
2006-09,"CHAMBA, HIMACHAL PRADESH",0.24781
2006-09,"BARAMULLA, JAMMU AND KASHMIR",0.26560
2002-04,"BUNDI, RAJASTHAN",0.03102
2002-04,"BHILWARA, RAJASTHAN",0.03306
2002-04,"TONK, RAJASTHAN",0.03543
2002-04,"AJMER, RAJASTHAN",0.03569
2002-04,"INDORE, MADHAYA PRADESH",0.03569
2002-04,"DEWAS, MADHAYA PRADESH",0.03606
2002-04,"RAJGARH, MADHAYA PRADESH",0.03728
2002-04,"UJJAIN, MADHAYA PRADESH",0.03764
2002-04,"JHALAWAR, RAJASTHAN",0.03769
2002-04,"SHAJAPUR, MADHAYA PRADESH",0.03871
2003-07,"JAMMU, JAMMU AND KASHMIR",0.11044
2003-07,"UDHAMPUR, JAMMU AND KASHMIR",0.12879
2003-07,"KATHUA, JAMMU AND KASHMIR",0.13466
2003-07,"AMRITSAR, PUNJAB",0.13605
2003-07,"GURDASPUR, PUNJAB",0.14162
2003-07,"KAPURTHALA, PUNJAB",0.14391
2003-07,"MANDI, HIMACHAL PRADESH",0.15252
2003-07,"JULLUNDAR, PUNJAB",0.15895
2003-07,"DODA, JAMMU AND KASHMIR",0.17617
2003-07,"CHAMBA, HIMACHAL PRADESH",0.17880
2010-04,"BHIND, MADHAYA PRADESH",0.06395
2010-04,"JALAUN, UTTAR PRADESH",0.06609
2010-04,"PRATAPGARH, UTTAR PRADESH",0.06901
2010-04,"DHOLPUR, RAJASTHAN",0.06983
