Month,District_State,MaximumRelativeHumidity
2004-02,"PULWAMA, JAMMU AND KASHMIR",0.97035
2004-02,"BADGAM, JAMMU AND KASHMIR",0.96957
2004-02,"KUPWARA, JAMMU AND KASHMIR",0.93902
2004-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.92440
2004-02,"KARGIL, JAMMU AND KASHMIR",0.92009
2004-02,"MAYURBHANJ, ORISSA",0.91886
2004-02,"UPPER SIANG, ARUNACHAL PRADESH",0.91610
2004-02,"WEST SIANG, ARUNACHAL PRADESH",0.90896
2004-02,"NAWAPARA, ORISSA",0.90515
2012-02,"PULWAMA, JAMMU AND KASHMIR",0.99318
2012-02,"KUPWARA, JAMMU AND KASHMIR",0.97548
2012-02,"BARAMULLA, JAMMU AND KASHMIR",0.97500
2012-02,"ANANTNAG, JAMMU AND KASHMIR",0.96366
2012-02,"KARGIL, JAMMU AND KASHMIR",0.94459
2012-02,"UPPER SIANG, ARUNACHAL PRADESH",0.94286
2012-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.93881
2012-02,"KINNAUR, HIMACHAL PRADESH",0.93605
2012-02,"WEST KAMENG, ARUNACHAL PRADESH",0.92156
2012-02,"LUCKNOW, UTTAR PRADESH",0.90741
2006-03,"BADGAM, JAMMU AND KASHMIR",0.98845
2006-03,"PULWAMA, JAMMU AND KASHMIR",0.98650
2006-03,"BARAMULLA, JAMMU AND KASHMIR",0.96336
2006-03,"KARGIL, JAMMU AND KASHMIR",0.94734
2006-03,"KINNAUR, HIMACHAL PRADESH",0.94278
2006-03,"KUPWARA, JAMMU AND KASHMIR",0.93746
2006-03,"CHINDWARA, MADHAYA PRADESH",0.92728
2006-03,"BETUL, MADHAYA PRADESH",0.92247
2006-03,"LADAKH, LADAKH",0.91805
2006-03,"NILGIRIS, TAMILNADU",0.91310
2010-03,"BARAMULLA, JAMMU AND KASHMIR",0.99478
2010-03,"PULWAMA, JAMMU AND KASHMIR",0.99090
2010-03,"SENAPATI, MANIPUR",0.98716
2010-03,"PAPAMPARE, ARUNACHAL PRADESH",0.98676
2010-03,"UPPER SIANG, ARUNACHAL PRADESH",0.98416
2010-03,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98385
2010-03,"PHEK, NAGALAND",0.98380
2010-03,"KUPWARA, JAMMU AND KASHMIR",0.98024
2010-03,"GOLAGHAT, ASSAM",0.97952
2010-03,"N.C.HILLS, ASSAM",0.97938
2000-07,"KINNAUR, HIMACHAL PRADESH",0.99338
2000-07,"NILGIRIS, TAMILNADU",0.98485
2000-07,"SENAPATI, MANIPUR",0.98244
2000-07,"PHEK, NAGALAND",0.98130
2000-07,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98124
2000-07,"MON, NAGALAND",0.98118
2000-07,"UPPER SIANG, ARUNACHAL PRADESH",0.98104
2000-07,"WAYANAD, KERALA",0.97858
2000-07,"PAPAMPARE, ARUNACHAL PRADESH",0.97697
2000-07,"KODAGU, KARNATAKA",0.97564
2001-10,"MON, NAGALAND",0.98663
2001-10,"PHEK, NAGALAND",0.98656
2001-10,"SENAPATI, MANIPUR",0.98580
2001-10,"KOHIMA, NAGALAND",0.98425
2001-10,"KARBI ANGLONG, ASSAM",0.98352
2001-10,"TUENSANG, NAGALAND",0.98317
2001-10,"N.C.HILLS, ASSAM",0.98218
2001-10,"GOLAGHAT, ASSAM",0.98202
2001-10,"NORTH TRIPURA, TRIPURA",0.98175
2001-10,"GOALPARA, ASSAM",0.98175
2004-11,"NILGIRIS, TAMILNADU",0.97862
2004-11,"PHEK, NAGALAND",0.97750
2004-11,"WAYANAD, KERALA",0.97195
2004-11,"DINDIGUL, TAMILNADU",0.97008
2004-11,"SENAPATI, MANIPUR",0.96823
2004-11,"MON, NAGALAND",0.95794
2004-11,"CHAMARAJANAGA, KARNATAKA",0.95541
2004-11,"MYSORE, KARNATAKA",0.95440
2004-11,"HASSAN, KARNATAKA",0.95055
2004-11,"KRISHNAGIRI, TAMILNADU",0.94640
2007-07,"SENAPATI, MANIPUR",0.98524
2007-07,"PHEK, NAGALAND",0.98457
2007-07,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98385
2007-07,"N.C.HILLS, ASSAM",0.98352
2007-07,"NILGIRIS, TAMILNADU",0.98344
2007-07,"MON, NAGALAND",0.98260
2007-07,"KARBI ANGLONG, ASSAM",0.98205
2007-07,"JAINTIA HILLS, MEGHALAYA",0.98125
2007-07,"GOLAGHAT, ASSAM",0.98106
2007-07,"EAST GARO HILLS, MEGHALAYA",0.98056
2012-04,"PULWAMA, JAMMU AND KASHMIR",0.98951
2012-04,"CHURACHANDPUR, MANIPUR",0.98453
2012-04,"EAST SIANG, ARUNACHAL PRADESH",0.98429
2012-04,"GOLAGHAT, ASSAM",0.98293
2012-04,"KARGIL, JAMMU AND KASHMIR",0.98258
2012-04,"PHEK, NAGALAND",0.98162
2012-04,"BARAMULLA, JAMMU AND KASHMIR",0.98084
2012-04,"SENAPATI, MANIPUR",0.97950
2012-04,"KARBI ANGLONG, ASSAM",0.97882
2012-04,"DIBANG VALLEY, ARUNACHAL PRADESH",0.97620
2003-12,"PHEK, NAGALAND",0.98885
2003-12,"BARAMULLA, JAMMU AND KASHMIR",0.98873
2003-12,"MON, NAGALAND",0.98503
2003-12,"SENAPATI, MANIPUR",0.98461
2003-12,"PULWAMA, JAMMU AND KASHMIR",0.97940
2003-12,"KARBI ANGLONG, ASSAM",0.96704
2003-12,"TUENSANG, NAGALAND",0.96688
